시도명,시군구명,지역구분,업종명,이용자 구분,연령대,성별,연월,이용자수,이용횟수,이용금액,연도
제주도,제주시,읍면,문화/레져,내국인관광객,50대,남,2018-12,1630,2052,205865840,2018
제주도,제주시,읍면,문화/레져,내국인관광객,40대,여,2018-12,1083,1400,57508545,2018
제주도,제주시,읍면,문화/레져,내국인관광객,40대,남,2018-12,1578,2006,122473935,2018
제주도,제주시,읍면,문화/레져,내국인관광객,30대,여,2018-12,1159,1441,44757300,2018
제주도,제주시,읍면,문화/레져,내국인관광객,30대,남,2018-12,1165,1445,48655890,2018
제주도,제주시,읍면,문화/레져,내국인관광객,20대미만,여,2018-12,31,33,629900,2018
제주도,제주시,읍면,문화/레져,내국인관광객,20대미만,남,2018-12,31,34,727700,2018
제주도,제주시,읍면,문화/레져,내국인관광객,20대,여,2018-12,969,1114,18900235,2018
제주도,제주시,읍면,문화/레져,내국인관광객,20대,남,2018-12,716,967,17121310,2018
제주도,제주시,읍면,교통,제주도민,60대이상,여,2018-12,1281,2355,219347989,2018
제주도,제주시,읍면,교통,제주도민,60대이상,남,2018-12,4168,9866,921060041,2018
제주도,제주시,읍면,교통,제주도민,50대,여,2018-12,1378,2288,170954860,2018
제주도,제주시,읍면,교통,제주도민,50대,남,2018-12,3031,6292,531541227,2018
제주도,제주시,읍면,교통,제주도민,40대,여,2018-12,1346,2182,150404194,2018
제주도,제주시,읍면,교통,제주도민,40대,남,2018-12,2543,4746,401682962,2018
제주도,제주시,읍면,교통,제주도민,30대,여,2018-12,917,1395,79875110,2018
제주도,제주시,읍면,교통,제주도민,30대,남,2018-12,1321,2189,127771280,2018
제주도,제주시,읍면,교통,제주도민,20대미만,여,2018-12,4,7,256358,2018
제주도,제주시,읍면,교통,제주도민,20대미만,남,2018-12,11,13,556617,2018
제주도,제주시,읍면,교통,제주도민,20대,여,2018-12,300,409,19972931,2018
제주도,제주시,읍면,교통,제주도민,20대,남,2018-12,469,738,33131050,2018
제주도,제주시,읍면,교통,내국인관광객,60대이상,여,2018-12,451,559,28560555,2018
제주도,제주시,읍면,교통,내국인관광객,60대이상,남,2018-12,1181,1467,85914244,2018
제주도,제주시,읍면,교통,내국인관광객,50대,여,2018-12,1129,1420,70322221,2018
제주도,제주시,읍면,교통,내국인관광객,50대,남,2018-12,2610,3239,187875865,2018
제주도,제주시,읍면,교통,내국인관광객,40대,여,2018-12,1337,1680,73711183,2018
제주도,제주시,읍면,교통,내국인관광객,40대,남,2018-12,2857,3627,197872983,2018
제주도,제주시,읍면,교통,내국인관광객,30대,여,2018-12,1562,1890,63559241,2018
제주도,제주시,읍면,교통,내국인관광객,30대,남,2018-12,2864,3384,142231817,2018
제주도,제주시,읍면,교통,내국인관광객,20대미만,여,2018-12,14,17,392900,2018
제주도,제주시,읍면,교통,내국인관광객,20대미만,남,2018-12,25,29,705703,2018
제주도,제주시,읍면,교통,내국인관광객,20대,여,2018-12,1719,2009,50911641,2018
제주도,제주시,읍면,교통,내국인관광객,20대,남,2018-12,1695,1942,68591961,2018
제주도,제주시,도심,유흥,제주도민,60대이상,여,2018-12,294,378,43409110,2018
제주도,제주시,도심,유흥,제주도민,60대이상,남,2018-12,1252,1843,236672289,2018
제주도,제주시,도심,유흥,제주도민,50대,여,2018-12,948,1194,101733275,2018
제주도,제주시,도심,유흥,제주도민,50대,남,2018-12,4030,6047,879301490,2018
제주도,제주시,도심,유흥,제주도민,40대,여,2018-12,1390,1712,149290960,2018
제주도,제주시,도심,유흥,제주도민,40대,남,2018-12,4601,6753,1087845622,2018
제주도,제주시,도심,유흥,제주도민,30대,여,2018-12,1047,1304,83918573,2018
제주도,제주시,도심,유흥,제주도민,30대,남,2018-12,2963,3965,486783855,2018
제주도,제주시,도심,유흥,제주도민,20대미만,여,2018-12,42,63,2430900,2018
제주도,제주시,도심,유흥,제주도민,20대미만,남,2018-12,69,93,4791510,2018
제주도,제주시,도심,유흥,제주도민,20대,여,2018-12,1627,2274,101603580,2018
제주도,제주시,도심,유흥,제주도민,20대,남,2018-12,2401,3556,232900740,2018
제주도,제주시,도심,유흥,내국인관광객,60대이상,여,2018-12,76,98,15906200,2018
제주도,제주시,도심,유흥,내국인관광객,60대이상,남,2018-12,234,294,43076000,2018
제주도,제주시,도심,유흥,내국인관광객,50대,여,2018-12,207,237,32006400,2018
제주도,제주시,도심,유흥,내국인관광객,50대,남,2018-12,782,1052,177804380,2018
제주도,제주시,도심,유흥,내국인관광객,40대,여,2018-12,220,256,27837373,2018
제주도,제주시,도심,유흥,내국인관광객,40대,남,2018-12,913,1276,216974300,2018
제주도,제주시,도심,유흥,내국인관광객,30대,여,2018-12,252,322,20334000,2018
제주도,제주시,도심,유흥,내국인관광객,30대,남,2018-12,754,997,114918200,2018
제주도,제주시,도심,유흥,내국인관광객,20대미만,여,2018-12,7,13,559700,2018
제주도,제주시,도심,유흥,내국인관광객,20대미만,남,2018-12,4,6,585500,2018
제주도,제주시,도심,유흥,내국인관광객,20대,여,2018-12,378,468,22051700,2018
제주도,제주시,도심,유흥,내국인관광객,20대,남,2018-12,538,734,39909955,2018
제주도,제주시,도심,식음료,제주도민,60대이상,여,2018-12,9619,16917,553040525,2018
제주도,제주시,도심,식음료,제주도민,60대이상,남,2018-12,17456,34829,1386168632,2018
제주도,제주시,도심,식음료,제주도민,50대,여,2018-12,22271,47983,1426704390,2018
제주도,제주시,도심,식음료,제주도민,50대,남,2018-12,31612,73241,2677623804,2018
제주도,제주시,도심,식음료,제주도민,40대,여,2018-12,32684,80019,2001259416,2018
제주도,제주시,도심,식음료,제주도민,40대,남,2018-12,37971,91126,3072843541,2018
제주도,제주시,도심,식음료,제주도민,30대,여,2018-12,26450,61995,1392458502,2018
제주도,제주시,도심,식음료,제주도민,30대,남,2018-12,29911,71942,2012042808,2018
제주도,제주시,도심,식음료,제주도민,20대미만,여,2018-12,1922,4526,54922167,2018
제주도,제주시,도심,식음료,제주도민,20대미만,남,2018-12,1703,4087,59242442,2018
제주도,제주시,도심,식음료,제주도민,20대,여,2018-12,22609,58885,1079710520,2018
제주도,제주시,도심,식음료,제주도민,20대,남,2018-12,20183,52283,1177177852,2018
제주도,제주시,도심,식음료,내국인관광객,60대이상,여,2018-12,3432,4683,169156209,2018
제주도,제주시,도심,식음료,내국인관광객,60대이상,남,2018-12,6503,9620,384008936,2018
제주도,제주시,도심,식음료,내국인관광객,50대,여,2018-12,8738,12195,401238930,2018
제주도,제주시,도심,식음료,내국인관광객,50대,남,2018-12,15710,24658,973177635,2018
제주도,제주시,도심,식음료,내국인관광객,40대,여,2018-12,11686,17544,530041047,2018
제주도,제주시,도심,식음료,내국인관광객,40대,남,2018-12,18443,29954,998648314,2018
제주도,제주시,도심,식음료,내국인관광객,30대,여,2018-12,15619,22925,562195533,2018
제주도,제주시,도심,식음료,내국인관광객,30대,남,2018-12,20014,31667,889153494,2018
제주도,제주시,도심,식음료,내국인관광객,20대미만,여,2018-12,468,739,11830740,2018
제주도,제주시,도심,식음료,내국인관광객,20대미만,남,2018-12,438,644,11875570,2018
제주도,제주시,도심,식음료,내국인관광객,20대,여,2018-12,17865,26709,536235139,2018
제주도,제주시,도심,식음료,내국인관광객,20대,남,2018-12,14313,22758,496482176,2018
제주도,제주시,도심,숙박,제주도민,60대이상,여,2018-12,241,354,57047747,2018
제주도,제주시,도심,숙박,제주도민,60대이상,남,2018-12,431,596,249038339,2018
제주도,제주시,도심,숙박,제주도민,50대,여,2018-12,374,522,161486158,2018
제주도,제주시,도심,숙박,제주도민,50대,남,2018-12,855,1177,225591647,2018
제주도,제주시,도심,숙박,제주도민,40대,여,2018-12,545,694,107319419,2018
제주도,제주시,도심,숙박,제주도민,40대,남,2018-12,1051,1415,139464868,2018
제주도,제주시,도심,숙박,제주도민,30대,여,2018-12,293,383,36885391,2018
제주도,제주시,도심,숙박,제주도민,30대,남,2018-12,654,883,111992634,2018
제주도,제주시,도심,숙박,제주도민,20대미만,여,2018-12,15,20,932992,2018
제주도,제주시,도심,숙박,제주도민,20대미만,남,2018-12,21,24,1007100,2018
제주도,제주시,도심,숙박,제주도민,20대,여,2018-12,395,512,21686651,2018
제주도,제주시,도심,숙박,제주도민,20대,남,2018-12,601,791,34128787,2018
제주도,제주시,도심,숙박,내국인관광객,60대이상,여,2018-12,210,250,36923649,2018
제주도,제주시,도심,숙박,내국인관광객,60대이상,남,2018-12,523,649,75543214,2018
제주도,제주시,도심,숙박,내국인관광객,50대,여,2018-12,501,610,74534806,2018
제주도,제주시,도심,숙박,내국인관광객,50대,남,2018-12,1284,1669,201011932,2018
제주도,제주시,도심,숙박,내국인관광객,40대,여,2018-12,697,864,104890474,2018
제주도,제주시,도심,숙박,내국인관광객,40대,남,2018-12,1445,1893,240588664,2018
제주도,제주시,도심,숙박,내국인관광객,30대,여,2018-12,722,853,72914516,2018
제주도,제주시,도심,숙박,내국인관광객,30대,남,2018-12,1162,1396,147070430,2018
제주도,제주시,도심,숙박,내국인관광객,20대미만,여,2018-12,18,19,1574244,2018
제주도,제주시,도심,숙박,내국인관광객,20대미만,남,2018-12,22,23,1007050,2018
제주도,제주시,도심,숙박,내국인관광객,20대,여,2018-12,653,710,58217084,2018
제주도,제주시,도심,숙박,내국인관광객,20대,남,2018-12,696,788,54550691,2018
